,row_id,timestamp,user_id,content_id,content_type_id,task_container_id,user_answer,answered_correctly,prior_question_elapsed_time,prior_question_had_explanation,question_id,bundle_id,correct_answer,part,tags,tag,type_of,previous_answer_index_question_id,previous_answer_question_id,flg
1,13250,559457371,138650,29680,1,133,-1,-1,,False,65535,-1,-1,1,,61,concept,-99,-99,True
2,13330,2461208170,138650,6808,1,182,-1,-1,,False,65535,-1,-1,2,,129,intention,-99,-99,True
4,13332,2461288728,138650,13909,1,185,-1,-1,,False,65535,-1,-1,1,,5,concept,-99,-99,True
6,13335,2461574766,138650,32312,1,189,-1,-1,,False,65535,-1,-1,2,,176,concept,-99,-99,True
9,13338,2461913483,138650,29695,1,104,-1,-1,,False,65535,-1,-1,6,,27,concept,-99,-99,True
11,13358,2549802536,138650,5752,1,208,-1,-1,,False,65535,-1,-1,2,,6,intention,-99,-99,True
12,13392,2724332173,138650,10383,1,230,-1,-1,,False,65535,-1,-1,5,,156,concept,-99,-99,True
14,13419,3016122804,138650,5694,1,240,-1,-1,,False,65535,-1,-1,2,,140,concept,-99,-99,True
17,13529,3359266211,138650,29544,1,295,-1,-1,,False,65535,-1,-1,2,,30,concept,-99,-99,True
18,13532,3359424141,138650,6797,1,299,-1,-1,,False,65535,-1,-1,2,,20,concept,-99,-99,True
20,13536,3359619624,138650,3153,1,302,-1,-1,,False,65535,-1,-1,2,,62,intention,-99,-99,True
22,13591,3670841398,138650,17326,1,103,-1,-1,,False,65535,-1,-1,6,,73,concept,-99,-99,True
24,13596,3671302177,138650,8461,1,344,-1,-1,,False,65535,-1,-1,6,,173,concept,-99,-99,True
27,13633,3934214580,138650,30455,1,373,-1,-1,,False,65535,-1,-1,6,,44,concept,-99,-99,True
29,13674,4277116948,138650,25843,1,383,-1,-1,,False,65535,-1,-1,1,,164,concept,-99,-99,True
31,13680,4277524423,138650,21411,1,389,-1,-1,,False,65535,-1,-1,2,,163,solving question,-99,-99,True
33,13683,4277837550,138650,15430,1,331,-1,-1,,False,65535,-1,-1,2,,71,concept,-99,-99,True
34,13722,4364566204,138650,13605,1,430,-1,-1,,False,65535,-1,-1,5,,91,concept,-99,-99,True
36,13725,4365764972,138650,27699,1,433,-1,-1,,False,65535,-1,-1,2,,129,intention,-99,-99,True
174,13057,0,138650,7900,0,0,1,0,,,7900,7900,0,1,131 93 81,-1,,-99,-99,True
176,13058,24190,138650,7876,0,1,2,0,22000.0,False,7876,7876,3,1,10 94 92,-1,,-99,-99,True
179,13059,50312,138650,175,0,2,3,0,21000.0,False,175,175,2,1,9 10 92,-1,,-99,-99,True
180,13060,69674,138650,1278,0,3,3,1,23000.0,False,1278,1278,3,2,143 140 81 29,-1,,-99,-99,True
182,13061,172637,138650,2063,0,4,1,0,16000.0,False,2063,2063,0,3,136 92 29,-1,,-99,-99,True
184,13062,172637,138650,2065,0,4,2,1,16000.0,False,2065,2063,2,3,136 162 92 29,-1,,-99,-99,True
186,13063,172637,138650,2064,0,4,1,1,16000.0,False,2064,2063,1,3,157 92 29,-1,,-99,-99,True
189,13064,241324,138650,3365,0,5,2,1,32666.0,False,3365,3363,2,4,136 103 29,-1,,-99,-99,True
191,13065,241324,138650,3364,0,5,1,1,32666.0,False,3364,3363,1,4,136 103 29,-1,,-99,-99,True
192,13066,241324,138650,3363,0,5,3,1,32666.0,False,3363,3363,3,4,74 103 29,-1,,-99,-99,True
195,13067,330490,138650,2948,0,6,3,0,21333.0,False,2948,2946,0,4,136 67 92,-1,,-99,-99,True
197,13068,330490,138650,2947,0,6,1,1,21333.0,False,2947,2946,1,4,74 67 92,-1,,-99,-99,True
198,13069,330490,138650,2946,0,6,3,1,21333.0,False,2946,2946,3,4,136 67 92,-1,,-99,-99,True
200,13070,425059,138650,2595,0,7,0,1,27666.0,False,2595,2593,0,4,82 103 102,-1,,-99,-99,True
202,13071,425059,138650,2593,0,7,3,1,27666.0,False,2593,2593,3,4,136 103 102,-1,,-99,-99,True
204,13072,425059,138650,2594,0,7,0,0,27666.0,False,2594,2593,2,4,161 103 102,-1,,-99,-99,True
206,13073,444460,138650,4492,0,8,1,0,29666.0,False,4492,4492,2,5,80,-1,,-99,-99,True
208,13074,462337,138650,4120,0,9,3,0,16000.0,False,4120,4120,0,5,123,-1,,-99,-99,True
210,13075,476474,138650,4696,0,10,0,1,15000.0,False,4696,4696,0,5,133,-1,,-99,-99,True
213,13076,498450,138650,6116,0,11,3,1,11000.0,False,6116,6116,3,5,23,-1,,-99,-99,True
215,13077,542689,138650,6173,0,12,2,1,19000.0,False,6173,6173,2,5,151,-1,,-99,-99,True
216,13078,565923,138650,6370,0,13,2,1,41000.0,False,6370,6370,2,5,79,-1,,-99,-99,True
218,13079,678556,138650,6911,0,14,3,1,20000.0,False,6911,6908,3,6,27,-1,,-99,-99,True
221,13080,678556,138650,6910,0,14,3,1,20000.0,False,6910,6908,3,6,115,-1,,-99,-99,True
223,13081,678556,138650,6908,0,14,0,1,20000.0,False,6908,6908,0,6,1,-1,,-99,-99,True
225,13082,678556,138650,6909,0,14,0,1,20000.0,False,6909,6908,0,6,91,-1,,-99,-99,True
227,13083,986559,138650,7216,0,15,2,0,27000.0,False,7216,7216,3,7,97 50 21,-1,,-99,-99,True
228,13084,986559,138650,7219,0,15,0,0,27000.0,False,7219,7216,2,7,50 19 21,-1,,-99,-99,True
230,13085,986559,138650,7217,0,15,2,1,27000.0,False,7217,7216,2,7,50 118 21,-1,,-99,-99,True
232,13086,986559,138650,7218,0,15,2,1,27000.0,False,7218,7216,2,7,50 18 21,-1,,-99,-99,True
234,13087,1187541,138650,4123,0,16,0,1,75500.0,False,4123,4123,0,5,177,-1,,-99,-99,True
236,13088,1242520,138650,6259,0,17,0,0,5000.0,True,6259,6259,2,5,134,-1,,-99,-99,True
238,13089,1290718,138650,5339,0,18,1,0,35000.0,True,5339,5339,2,5,58,-1,,-99,-99,True
240,13090,1324586,138650,9073,0,19,0,1,23000.0,True,9073,9073,0,5,147,-1,,-99,-99,True
243,13091,1354709,138650,5192,0,20,1,1,18000.0,True,5192,5192,1,5,31,-1,,-99,-99,True
245,13092,1394276,138650,4021,0,21,3,1,19000.0,True,4021,4021,3,5,147,-1,,-99,-99,True
246,13093,1425161,138650,6041,0,22,0,1,30000.0,True,6041,6041,0,5,7,-1,,-99,-99,True
249,13094,1489313,138650,8716,0,23,1,1,17000.0,True,8716,8716,1,5,28,-1,,-99,-99,True
251,13095,1537142,138650,5271,0,24,0,1,50000.0,True,5271,5271,0,5,45,-1,,-99,-99,True
252,13096,1566943,138650,6046,0,25,3,1,37000.0,True,6046,6046,3,5,147,-1,,-99,-99,True
255,13097,84797151,138650,7888,0,26,0,1,19000.0,True,7888,7888,0,1,131 149 92,-1,,-99,-99,True
257,13098,84822837,138650,7863,0,27,0,1,22000.0,True,7863,7863,0,1,131 68 92,-1,,-99,-99,True
258,13099,84854149,138650,180,0,28,2,1,19000.0,True,180,180,2,1,131 149 38,-1,,-99,-99,True
260,13100,84891885,138650,10460,0,29,3,1,25000.0,True,10460,10460,3,1,131 36 29,-1,,-99,-99,True
263,13101,84918770,138650,149,0,30,2,1,31000.0,True,149,149,2,1,131 93 81,-1,,-99,-99,True
264,13102,84951087,138650,110,0,31,2,0,21000.0,True,110,110,1,1,131 13 38,-1,,-99,-99,True
266,13103,84979409,138650,139,0,32,2,1,25000.0,True,139,139,2,1,131 130 162 38,-1,,-99,-99,True
268,13104,85010375,138650,10613,0,33,1,1,21000.0,True,10613,10613,1,1,10 164 92,-1,,-99,-99,True
271,13105,85046039,138650,7964,0,34,2,0,24000.0,True,7964,7964,0,1,61 110 102,-1,,-99,-99,True
272,13106,85078278,138650,189,0,35,3,0,28000.0,True,189,189,1,1,9 10 38,-1,,-99,-99,True
274,13107,85108844,138650,191,0,36,2,1,23000.0,True,191,191,2,1,131 40 102,-1,,-99,-99,True
277,13108,85135660,138650,10502,0,37,1,1,21000.0,True,10502,10502,1,1,9 10 38,-1,,-99,-99,True
278,13109,85163247,138650,5,0,38,2,1,19000.0,True,5,5,2,1,131 149 162 81,-1,,-99,-99,True
280,13110,85199158,138650,185,0,39,0,1,21000.0,True,185,185,0,1,131 111 81,-1,,-99,-99,True
282,13111,85241744,138650,2,0,40,0,1,24000.0,True,2,2,0,1,131 101 162 92,-1,,146,0,True
284,13112,85270003,138650,10681,0,41,1,1,28000.0,True,10681,10681,1,1,131 130 102,-1,,-99,-99,True
286,13113,85302837,138650,7859,0,42,3,0,20000.0,True,7859,7859,1,1,131 5 92,-1,,77,1,True
288,13114,85330473,138650,7980,0,43,3,1,24000.0,True,7980,7980,3,1,131 149 81,-1,,-99,-99,True
291,13115,85367647,138650,134,0,44,2,1,19000.0,True,134,134,2,1,131 104 92,-1,,-99,-99,True
292,13116,85404197,138650,10646,0,45,3,0,24000.0,True,10646,10646,0,1,10 94 29,-1,,-99,-99,True
295,13117,85512581,138650,5340,0,46,1,1,23000.0,True,5340,5340,1,5,179,-1,,-99,-99,True
