,row_id,timestamp,user_id,content_id,content_type_id,task_container_id,user_answer,answered_correctly,prior_question_elapsed_time,prior_question_had_explanation,question_id,bundle_id,correct_answer,part,tags,tag,type_of,previous_answer_index_content_id,previous_answer_content_id,flg,previous_answer_index_question_id,previous_answer_question_id
81,25799,58861077,475020,12354,1,17,-1,-1,,False,65535,-1,-1,6,,49,concept,-99,-99,True,-99,-99
83,25859,68943841,475020,17326,1,44,-1,-1,,False,65535,-1,-1,6,,73,concept,-99,-99,True,-99,-99
84,25899,71897477,475020,19184,1,58,-1,-1,,False,65535,-1,-1,4,,157,concept,-99,-99,True,-99,-99
87,25939,83533375,475020,28621,1,98,-1,-1,,False,65535,-1,-1,5,,175,concept,-99,-99,True,-99,-99
89,25987,87005957,475020,29695,1,39,-1,-1,,False,65535,-1,-1,6,,27,concept,-99,-99,True,-99,-99
91,26028,111525725,475020,5752,1,142,-1,-1,,False,65535,-1,-1,2,,6,intention,-99,-99,True,-99,-99
93,26039,112618539,475020,32736,1,154,-1,-1,,False,65535,-1,-1,3,,82,concept,-99,-99,True,-99,-99
94,26077,115582884,475020,5266,1,181,-1,-1,,False,65535,-1,-1,3,,157,concept,-99,-99,True,-99,-99
96,26192,168754811,475020,8461,1,235,-1,-1,,False,65535,-1,-1,6,,173,concept,-99,-99,True,-99,-99
98,26245,202204682,475020,31613,1,263,-1,-1,,False,65535,-1,-1,3,,161,concept,-99,-99,True,-99,-99
101,26277,283927224,475020,21168,1,276,-1,-1,,False,65535,-1,-1,3,,106,concept,-99,-99,True,-99,-99
103,26326,287442979,475020,27845,1,313,-1,-1,,False,65535,-1,-1,5,,108,concept,-99,-99,True,-99,-99
105,26349,362076248,475020,16192,1,325,-1,-1,,False,65535,-1,-1,6,,179,concept,-99,-99,True,-99,-99
107,26387,374148188,475020,14811,1,351,-1,-1,,False,65535,-1,-1,5,,108,solving question,-99,-99,True,-99,-99
109,26454,460578194,475020,3625,1,389,-1,-1,,False,65535,-1,-1,6,,26,concept,-99,-99,True,-99,-99
111,26480,526128966,475020,24558,1,398,-1,-1,,False,65535,-1,-1,6,,73,solving question,-99,-99,True,-99,-99
113,26494,528120690,475020,484,1,406,-1,-1,,False,65535,-1,-1,5,,179,concept,-99,-99,True,-99,-99
114,26515,547416133,475020,2084,1,417,-1,-1,,False,65535,-1,-1,6,,1,solving question,-99,-99,True,-99,-99
