answered_correctly,bundle_id,bundle_id_x,bundle_id_y,content_id,content_type_id,correct_answer,correct_answer_x,correct_answer_y,lecture_id,lecture_id_x,lecture_id_y,part_x,part_y,prior_question_elapsed_time,prior_question_had_explanation,question_id,question_id_x,question_id_y,row_id,tag,tag_x,tag_y,tags,tags_x,tags_y,task_container_id,timestamp,type_of,type_of_x,type_of_y,user_answer,user_id
1,,3822.0,3822.0,3822,0,,1.0,1.0,,,,5,5,,,,3822.0,3822.0,54058,,,,,8,8,0,0,,,,1,1283420
1,,638.0,638.0,638,0,,0.0,0.0,,,,2,2,11000.0,False,,638.0,638.0,54059,,,,,143 176 6 38 92,143 176 6 38 92,1,29795,,,,0,1283420
0,,4231.0,4231.0,4231,0,,1.0,1.0,,,,5,5,28000.0,False,,4231.0,4231.0,54060,,,,,89,89,2,91982,,,,0,1283420
0,,7978.0,7978.0,7978,0,,1.0,1.0,,,,1,1,60000.0,False,,7978.0,7978.0,54061,,,,,131 104 29,131 104 29,3,117342,,,,3,1283420
1,,8225.0,8225.0,8225,0,,1.0,1.0,,,,5,5,23000.0,False,,8225.0,8225.0,54062,,,,,8,8,4,145733,,,,1,1283420
0,,5608.0,5608.0,5608,0,,1.0,1.0,,,,5,5,26000.0,False,,5608.0,5608.0,54063,,,,,72,72,5,192424,,,,0,1283420
0,,9715.0,9715.0,9715,0,,2.0,2.0,,,,5,5,45000.0,False,,9715.0,9715.0,54064,,,,,55,55,6,225564,,,,1,1283420
1,,4544.0,4544.0,4544,0,,2.0,2.0,,,,5,5,31000.0,False,,4544.0,4544.0,54065,,,,,55,55,7,269263,,,,2,1283420
0,,4730.0,4730.0,4730,0,,0.0,0.0,,,,5,5,42000.0,False,,4730.0,4730.0,54066,,,,,8,8,8,308012,,,,3,1283420
0,,5170.0,5170.0,5170,0,,1.0,1.0,,,,5,5,36000.0,False,,5170.0,5170.0,54067,,,,,173,173,9,359511,,,,3,1283420
1,,5423.0,5423.0,5423,0,,2.0,2.0,,,,5,5,49000.0,False,,5423.0,5423.0,54068,,,,,60,60,10,410850910,,,,2,1283420
1,,6281.0,6281.0,6281,0,,1.0,1.0,,,,5,5,13000.0,True,,6281.0,6281.0,54069,,,,,80,80,11,410874419,,,,1,1283420
1,,4237.0,4237.0,4237,0,,3.0,3.0,,,,5,5,6000.0,True,,4237.0,4237.0,54070,,,,,31,31,12,410985004,,,,3,1283420
0,,9235.0,9235.0,9235,0,,3.0,3.0,,,,5,5,37000.0,True,,9235.0,9235.0,54071,,,,,47,47,13,411097941,,,,2,1283420
0,,4256.0,4256.0,4256,0,,3.0,3.0,,,,5,5,34000.0,True,,4256.0,4256.0,54072,,,,,43,43,14,411180824,,,,1,1283420
1,,5589.0,5589.0,5589,0,,3.0,3.0,,,,5,5,34000.0,True,,5589.0,5589.0,54073,,,,,180,180,15,411272909,,,,3,1283420
