timestamp,user_id,content_id,content_type_id,task_container_id,user_answer,answered_correctly,prior_question_elapsed_time,prior_question_had_explanation,bundle_id,correct_answer,part,tags,tag,type_of
0,477605950,4167,0,0,3,1,,,4167,3,5,79,-1,
19152,477605950,128,0,1,0,1,13000.0,False,128,0,1,131 149 92,-1,
49922,477605950,4706,0,2,0,0,14000.0,False,4706,2,5,173,-1,
69050,477605950,3968,0,3,2,1,26000.0,False,3968,2,5,1,-1,
102442,477605950,5350,0,4,2,1,14000.0,False,5350,2,5,179,-1,
126533,477605950,5200,0,5,3,0,29000.0,False,5200,0,5,72,-1,
179568,477605950,3577,0,6,3,0,19000.0,False,3577,0,5,8,-1,
197009,477605950,6287,0,7,2,1,49000.0,False,6287,2,5,89,-1,
311285,477605950,7865,0,8,1,0,13000.0,False,7865,0,1,10 164 38,-1,
334746,477605950,7901,0,9,1,1,2000.0,True,7901,1,1,131 130 92,-1,
364676,477605950,191,0,10,1,0,2000.0,True,191,2,1,131 40 102,-1,
381665,477605950,10513,0,11,1,1,7000.0,True,10513,1,1,131 5 29,-1,
397817,477605950,3,0,12,1,0,2000.0,True,3,0,1,131 149 162 29,-1,
411226,477605950,15,0,13,1,0,5000.0,True,15,3,1,61 110 81,-1,
424342,477605950,7867,0,14,1,0,2000.0,True,7867,2,1,131 187 92,-1,
439164,477605950,10562,0,15,1,0,2000.0,True,10562,3,1,10 178 38,-1,
456395,477605950,7974,0,16,1,1,4000.0,True,7974,1,1,61 110 81,-1,
469680,477605950,7964,0,17,1,0,4000.0,True,7964,0,1,61 110 102,-1,
481786,477605950,7898,0,18,1,0,1000.0,True,7898,2,1,131 99 29,-1,
501812,477605950,10535,0,19,1,0,1000.0,True,10535,3,1,131 130 29,-1,
546655,477605950,122,0,20,1,1,5000.0,True,122,1,1,10 164 92,-1,
566804,477605950,187,0,21,3,1,29000.0,True,187,3,1,131 99 102,-1,
579688,477605950,7939,0,22,1,1,8000.0,True,7939,1,1,131 130 92,-1,
589004,477605950,10651,0,23,1,0,2000.0,True,10651,0,1,131 149 29,-1,
602288,477605950,14,0,24,1,0,1000.0,True,14,2,1,131 101 38,-1,
624085,477605950,183,0,25,3,0,5000.0,True,183,1,1,61 110 162 29,-1,
644614,477605950,75,0,26,1,1,5000.0,True,75,1,1,131 5 81,-1,
661761,477605950,10658,0,27,1,0,2000.0,True,10658,0,1,9 10 92,-1,
692338,477605950,7877,0,28,1,0,3000.0,True,7877,0,1,131 187 92,-1,
787801,477605950,86,0,29,1,0,7000.0,True,86,0,1,10 70 38,-1,
857316,477605950,7859,0,30,1,1,20000.0,True,7859,1,1,131 5 92,-1,
869861,477605950,10624,0,31,1,0,6000.0,True,10624,2,1,10 164 81,-1,
884373,477605950,7890,0,32,1,0,3000.0,True,7890,3,1,131 5 92,-1,
898468,477605950,7905,0,33,0,0,5000.0,True,7905,2,1,131 130 38,-1,
1016965,477605950,110,0,34,1,1,2000.0,True,110,1,1,131 13 38,-1,
1026806,477605950,10603,0,35,1,1,2000.0,True,10603,1,1,131 101 38,-1,
1041004,477605950,121,0,36,0,0,2000.0,True,121,2,1,131 5 38,-1,
1053745,477605950,52,0,37,0,0,4000.0,True,52,3,1,131 99 92,-1,
1069552,477605950,175,0,38,3,0,1000.0,True,175,2,1,9 10 92,-1,
1083469,477605950,10595,0,39,1,0,2000.0,True,10595,2,1,131 68 92,-1,
1094281,477605950,123,0,40,3,0,2000.0,True,123,0,1,61 110 102,-1,
1105913,477605950,144,0,41,0,1,2000.0,True,144,0,1,131 13 92,-1,
1206336,477605950,7854,0,42,1,0,1000.0,True,7854,3,1,61 110 162 29,-1,
1224905,477605950,10479,0,43,3,0,3000.0,True,10479,0,1,131 187 29,-1,
1245543,477605950,7983,0,44,0,1,3000.0,True,7983,0,1,131 101 92,-1,
1265353,477605950,169,0,45,3,0,4000.0,True,169,0,1,131 149 92,-1,
1283173,477605950,171,0,46,3,0,4000.0,True,171,1,1,131 93 38,-1,
