timestamp,user_id,content_id,content_type_id,task_container_id,user_answer,answered_correctly,prior_question_elapsed_time,prior_question_had_explanation,bundle_id,correct_answer,part,tags,tag,type_of,target_enc_content_id,rate,content_id_shift1,is_same,part_shift1,content_id_shift2,part_shift2,content_id_shift3,part_shift3,content_id_shift4,part_shift4,content_id_shift5,part_shift5,content_id_shift6,part_shift6,content_id_shift7,part_shift7,content_id_shift8,part_shift8,content_id_shift9,part_shift9,content_id_shift10,part_shift10,content_id_shift11,part_shift11,content_id_shift12,part_shift12,content_id_shift13,part_shift13,content_id_shift14,part_shift14,content_id_shift15,part_shift15
0,475020,4849,0,0,3,1.0,,,4849,3,5,96,-1,,,,-1.0,False,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
19722,475020,5522,0,1,1,1.0,21000.0,False,5522,1,5,89,-1,,,,4849.0,False,5.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
49898,475020,9800,0,2,3,0.0,15000.0,False,9800,2,5,96,-1,,,,5522.0,False,5.0,4849.0,5.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
75843,475020,4094,0,3,2,0.0,27000.0,False,4094,1,5,1,-1,,0.0,0.0,9800.0,False,5.0,5522.0,5.0,4849.0,5.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
117395,475020,9136,0,4,1,0.0,23000.0,False,9136,0,5,53,-1,,1.0,-1.0,4094.0,False,5.0,9800.0,5.0,5522.0,5.0,4849.0,5.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
174134,475020,3612,0,5,0,0.0,37000.0,False,3612,2,5,53,-1,,,,9136.0,False,5.0,4094.0,5.0,9800.0,5.0,5522.0,5.0,4849.0,5.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
242676,475020,9958,0,6,1,0.0,52000.0,False,9958,2,5,53,-1,,,,3612.0,False,5.0,9136.0,5.0,4094.0,5.0,9800.0,5.0,5522.0,5.0,4849.0,5.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
27515424,475020,5272,0,7,2,1.0,63000.0,False,5272,2,5,174,-1,,1.0,0.0,9958.0,False,5.0,3612.0,5.0,9136.0,5.0,4094.0,5.0,9800.0,5.0,5522.0,5.0,4849.0,5.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
27622888,475020,8399,0,8,1,0.0,12000.0,True,8399,0,5,58,-1,,,,5272.0,False,5.0,9958.0,5.0,3612.0,5.0,9136.0,5.0,4094.0,5.0,9800.0,5.0,5522.0,5.0,4849.0,5.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
27731506,475020,3969,0,9,0,1.0,22000.0,True,3969,0,5,4,-1,,,,8399.0,False,5.0,5272.0,5.0,9958.0,5.0,3612.0,5.0,9136.0,5.0,4094.0,5.0,9800.0,5.0,5522.0,5.0,4849.0,5.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
27769084,475020,13284,0,10,0,1.0,30000.0,True,13284,0,5,181,-1,,,,3969.0,False,5.0,8399.0,5.0,5272.0,5.0,9958.0,5.0,3612.0,5.0,9136.0,5.0,4094.0,5.0,9800.0,5.0,5522.0,5.0,4849.0,5.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
27812684,475020,3635,0,11,2,0.0,12000.0,True,3635,1,5,15,-1,,1.0,-1.0,13284.0,False,5.0,3969.0,5.0,8399.0,5.0,5272.0,5.0,9958.0,5.0,3612.0,5.0,9136.0,5.0,4094.0,5.0,9800.0,5.0,5522.0,5.0,4849.0,5.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
27876887,475020,11254,0,12,3,1.0,22000.0,True,11254,3,5,182,-1,,,,3635.0,False,5.0,13284.0,5.0,3969.0,5.0,8399.0,5.0,5272.0,5.0,9958.0,5.0,3612.0,5.0,9136.0,5.0,4094.0,5.0,9800.0,5.0,5522.0,5.0,4849.0,5.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
27939211,475020,9596,0,13,2,0.0,32000.0,True,9596,3,5,73,-1,,,,11254.0,False,5.0,3635.0,5.0,13284.0,5.0,3969.0,5.0,8399.0,5.0,5272.0,5.0,9958.0,5.0,3612.0,5.0,9136.0,5.0,4094.0,5.0,9800.0,5.0,5522.0,5.0,4849.0,5.0,-1.0,-1.0,-1.0,-1.0
27979981,475020,13486,0,14,1,0.0,35000.0,True,13486,3,5,166,-1,,,,9596.0,False,5.0,11254.0,5.0,3635.0,5.0,13284.0,5.0,3969.0,5.0,8399.0,5.0,5272.0,5.0,9958.0,5.0,3612.0,5.0,9136.0,5.0,4094.0,5.0,9800.0,5.0,5522.0,5.0,4849.0,5.0,-1.0,-1.0
28054439,475020,9239,0,15,2,1.0,11000.0,True,9239,2,5,47,-1,,,,13486.0,False,5.0,9596.0,5.0,11254.0,5.0,3635.0,5.0,13284.0,5.0,3969.0,5.0,8399.0,5.0,5272.0,5.0,9958.0,5.0,3612.0,5.0,9136.0,5.0,4094.0,5.0,9800.0,5.0,5522.0,5.0,4849.0,5.0
