content_id,correct_answer,user_answer,0
3646,2,0,3
3646,2,1,25
3646,2,2,92
3646,2,3,2
3647,1,0,78
3647,1,1,73
3647,1,2,12
3647,1,3,2
3648,1,0,1
3648,1,1,45
3648,1,2,3
3648,1,3,9
3649,1,0,2
3649,1,1,7
3649,1,2,1
3650,0,0,53
3650,0,1,35
3650,0,2,3
3650,0,3,23
3651,0,0,70
3651,0,1,3
3651,0,2,19
3651,0,3,49
3652,3,0,3
3652,3,1,2
3652,3,2,1
3652,3,3,45
3653,0,0,7
3653,0,1,1
3653,0,3,1
3654,3,0,10
3654,3,1,20
3654,3,2,10
3654,3,3,59
3655,0,0,44
3655,0,1,3
3655,0,3,9
3656,0,0,38
3656,0,1,8
3656,0,2,4
3656,0,3,7
3657,1,0,9
3657,1,1,66
3657,1,2,23
3657,1,3,7
3658,3,0,13
3658,3,1,18
3658,3,2,15
3658,3,3,66
3659,0,0,53
3659,0,1,8
3659,0,2,3
3659,0,3,9
3660,1,0,1
3660,1,1,4
3660,1,2,3
3660,1,3,2
3661,0,0,57
3661,0,1,11
3661,0,2,5
3661,0,3,10
3662,0,0,6
3662,0,1,1
3662,0,2,1
3663,0,0,3
3664,0,0,42
3664,0,1,6
3664,0,2,4
3664,0,3,17
3665,1,0,13
3665,1,1,65
3665,1,2,6
3665,1,3,8
3666,2,0,5
3666,2,1,6
3666,2,2,43
3666,2,3,9
3667,0,0,1
3667,0,1,1
3668,2,0,8
3668,2,1,8
3668,2,2,61
3668,2,3,7
3669,1,0,2
3669,1,1,40
3669,1,2,5
3669,1,3,4
3670,1,1,3
3671,2,0,11
3671,2,1,1
3671,2,2,78
3671,2,3,3
3672,1,0,4
3672,1,1,49
3672,1,2,8
3672,1,3,14
3673,2,1,6
3673,2,2,37
3673,2,3,3
3674,1,0,9
3674,1,1,49
3674,1,2,5
3674,1,3,9
3675,1,0,7
3675,1,1,51
3675,1,2,4
3675,1,3,8
3676,0,0,1
3677,1,0,17
3677,1,1,49
3677,1,2,24
3677,1,3,3
3678,1,0,3
3678,1,1,37
3678,1,2,6
3678,1,3,12
3679,1,0,8
3679,1,1,40
3679,1,2,1
3679,1,3,1
3680,3,0,13
3680,3,1,12
3680,3,2,16
3680,3,3,82
3681,1,0,4
3681,1,1,96
3681,1,2,3
3681,1,3,15
3682,1,0,5
3682,1,1,64
3682,1,2,4
3682,1,3,23
3683,1,0,1
3683,1,1,56
3683,1,3,5
3684,1,0,13
3684,1,1,61
3684,1,2,13
3684,1,3,70
3685,1,0,12
3685,1,1,84
3685,1,2,14
3685,1,3,8
3686,1,0,1
3686,1,1,2
3686,1,2,2
3687,1,1,2
3687,1,2,1
3687,1,3,1
3688,1,0,14
3688,1,1,73
3688,1,2,6
3688,1,3,6
3689,1,0,2
3689,1,1,41
3689,1,2,7
3689,1,3,14
3690,1,1,3
3691,1,0,4
3691,1,1,61
3691,1,2,8
3691,1,3,6
3692,1,0,4
3692,1,1,35
3692,1,3,12
3850,3,0,3
3850,3,1,22
3850,3,2,6
3850,3,3,27
3865,2,0,39
3865,2,1,126
3865,2,2,70
3865,2,3,31
3877,1,0,9
3877,1,1,47
3877,1,2,3
3877,1,3,1
3879,2,0,5
3879,2,1,1
3879,2,2,49
3879,2,3,13
3949,2,0,4
3949,2,1,13
3949,2,2,49
3949,2,3,2
3959,3,0,1
3959,3,1,9
3959,3,2,5
3959,3,3,43
3989,0,0,57
3989,0,1,4
3989,0,2,11
3989,0,3,17
3991,1,1,38
3991,1,2,18
3991,1,3,6
3992,0,0,67
3992,0,1,1
3992,0,2,3
3992,0,3,5
3993,1,0,2
3993,1,1,46
3993,1,2,8
3993,1,3,11
3994,0,0,60
3994,0,1,2
3994,0,2,14
3994,0,3,7
3995,2,2,50
3995,2,3,8
3997,2,0,24
3997,2,1,2
3997,2,2,68
3997,2,3,11
4097,2,0,7
4097,2,2,54
4097,2,3,5
4107,3,0,9
4107,3,1,2
4107,3,3,44
4149,0,0,51
4149,0,1,7
4149,0,2,1
4149,0,3,10
4229,3,0,8
4229,3,1,20
4229,3,2,15
4229,3,3,69
4289,1,0,15
4289,1,1,74
4289,1,2,16
4289,1,3,20
4294,2,0,3
4294,2,1,6
4294,2,2,53
4294,2,3,2
4295,1,0,16
4295,1,1,41
4295,1,2,2
4295,1,3,3
4531,3,0,1
4531,3,1,8
4531,3,2,3
4531,3,3,55
4543,0,0,50
4543,0,1,10
