,index,timestamp,user_id,content_id,content_type_id,task_container_id,user_answer,answered_correctly,prior_question_elapsed_time,prior_question_had_explanation,question_id,bundle_id,correct_answer,part,tags,tag,type_of,content_rating,user_id_rating,rating_diff_content_user_id,"['user_id', 'part']_rating","rating_diff_content_['user_id', 'part']",user_id_rating_bin,content_rating_bin,predict,target,diff_target
4991,4991,0,1283420,3822,0,0,1,1.0,,,3822,3822,1,5,8,-1,,1333,1500,-167,1500,-181,15,13,,,
4992,4992,29795,1283420,638,0,1,0,1.0,11000.0,False,638,638,0,2,143 176 6 38 92,-1,,1299,1504,-205,1500,-204,15,12,,,
4993,4993,91982,1283420,4231,0,2,0,0.0,28000.0,False,4231,4231,1,5,89,-1,,1573,1507,66,1503,61,15,15,,,
4994,4994,117342,1283420,7978,0,3,3,0.0,60000.0,False,7978,7978,1,1,131 104 29,-1,,1378,1501,-123,1500,-138,15,13,,,
4995,4995,145733,1283420,8225,0,4,1,1.0,23000.0,False,8225,8225,1,5,8,-1,,1434,1491,-57,1497,-74,14,14,,,
4996,4996,192424,1283420,5608,0,5,0,0.0,26000.0,False,5608,5608,1,5,72,-1,,1437,1497,-60,1503,-80,14,14,,,
4997,4997,225564,1283420,9715,0,6,1,0.0,45000.0,False,9715,9715,2,5,55,-1,,1584,1489,95,1494,82,14,15,,,
4998,4998,269263,1283420,4544,0,7,2,1.0,31000.0,False,4544,4544,2,5,55,-1,,1560,1483,77,1488,65,14,15,,,
4999,4999,308012,1283420,4730,0,8,3,0.0,42000.0,False,4730,4730,0,5,8,-1,,1481,1492,-11,1497,-18,14,14,,,
5000,5000,359511,1283420,5170,0,9,3,0.0,36000.0,False,5170,5170,1,5,173,-1,,1425,1484,-59,1489,-71,14,14,,,
5001,5001,410850910,1283420,5423,0,10,2,1.0,49000.0,False,5423,5423,2,5,60,-1,,1260,1476,-216,1480,-230,14,12,,,
5002,5002,410874419,1283420,6281,0,11,1,1.0,13000.0,True,6281,6281,1,5,80,-1,,1412,1479,-67,1483,-87,14,14,,,
5003,5003,410985004,1283420,4237,0,12,3,1.0,6000.0,True,4237,4237,3,5,31,-1,,1280,1485,-205,1489,-218,14,12,,,
5004,5004,411097941,1283420,9235,0,13,2,0.0,37000.0,True,9235,9235,3,5,47,-1,,1584,1489,95,1492,72,14,15,,,
5005,5005,411180824,1283420,4256,0,14,1,0.0,34000.0,True,4256,4256,3,5,43,-1,,1417,1483,-66,1486,-82,14,14,,,
5006,5006,411272909,1283420,5589,0,15,3,1.0,34000.0,True,5589,5589,3,5,180,-1,,1464,1474,-10,1477,-27,14,14,,,
5007,5007,411430867,1283420,5265,0,16,1,1.0,50000.0,True,5265,5265,1,5,174,-1,,1452,1481,-29,1484,-46,14,14,,,
5008,5008,411533808,1283420,8652,0,17,2,1.0,78000.0,True,8652,8652,2,5,172,-1,,1394,1488,-94,1491,-106,14,13,,,
5009,5009,411584937,1283420,4141,0,18,0,1.0,17000.0,True,4141,4141,0,5,49,-1,,1482,1494,-12,1496,-36,14,14,,,
5010,5010,411630068,1283420,4844,0,19,2,1.0,25000.0,True,4844,4844,2,5,53,-1,,1301,1501,-200,1503,-221,15,13,,,
5011,5011,411706350,1283420,5334,0,20,2,1.0,21000.0,True,5334,5334,2,5,44,-1,,1410,1505,-95,1506,-111,15,14,,,
5012,5012,411778127,1283420,9596,0,21,3,1.0,35000.0,True,9596,9596,3,5,73,-1,,1670,1510,160,1511,138,15,16,,,
5013,5013,411837433,1283420,4074,0,22,3,1.0,20000.0,True,4074,4074,3,5,179,-1,,1408,1521,-113,1521,-125,15,14,,,
5014,5014,411892745,1283420,4030,0,23,3,1.0,23000.0,True,4030,4030,3,5,72,-1,,1420,1526,-106,1526,-123,15,14,,,
5015,5015,411921220,1283420,4482,0,24,3,1.0,34000.0,True,4482,4482,3,5,159,-1,,1306,1531,-225,1531,-235,15,13,,,
5016,5016,1034061496,1283420,9238,0,25,0,1.0,11000.0,True,9238,9238,0,5,47,-1,,1250,1535,-285,1534,-303,15,12,,,
5017,5017,1034105705,1283420,4124,0,26,2,1.0,10000.0,True,4124,4124,2,5,1,-1,,1367,1537,-170,1536,-189,15,13,,,
5018,5018,1034163292,1283420,6154,0,27,3,1.0,16000.0,True,6154,6154,3,5,44,-1,,1479,1541,-62,1540,-73,15,14,,,
5019,5019,1034234797,1283420,3742,0,28,2,1.0,24000.0,True,3742,3742,2,5,60,-1,,1490,1547,-57,1546,-71,15,14,,,
5020,5020,1034298194,1283420,8967,0,29,2,1.0,36000.0,True,8967,8967,2,5,73,-1,,1383,1554,-171,1552,-180,15,13,,,
5021,5021,1034361469,1283420,4976,0,30,3,1.0,29000.0,True,4976,4976,3,5,179,-1,,1483,1558,-75,1556,-86,15,14,,,
5022,5022,1034412703,1283420,5713,0,31,0,1.0,28000.0,True,5713,5713,0,5,172,-1,,1402,1564,-162,1562,-177,15,14,,,
5023,5023,1034484307,1283420,6152,0,32,3,1.0,12000.0,True,6152,6152,3,5,44,-1,,1419,1568,-149,1566,-163,15,14,,,
5024,5024,1034541712,1283420,9524,0,33,2,1.0,32000.0,True,9524,9524,2,5,73,-1,,1248,1572,-324,1570,-334,15,12,,,
5025,5025,1034614630,1283420,4979,0,34,2,1.0,31000.0,True,4979,4979,2,5,33,-1,,1383,1574,-191,1572,-206,15,13,,,
5026,5026,1034728955,1283420,5262,0,35,0,1.0,24000.0,True,5262,5262,0,5,65,-1,,1501,1578,-77,1575,-90,15,15,,,
5027,5027,1034777972,1283420,5581,0,36,2,1.0,63000.0,True,5581,5581,2,5,54,-1,,1460,1584,-124,1581,-132,15,14,,,
5028,5028,1034839094,1283420,9031,0,37,0,0.0,24000.0,True,9031,9031,1,5,173,-1,,1443,1589,-146,1586,-161,15,14,,,
5029,5029,1034947884,1283420,3810,0,38,2,1.0,23000.0,True,3810,3810,2,5,8,-1,,1627,1578,49,1575,40,15,16,,,
5030,5030,1035076391,1283420,3945,0,39,3,0.0,54000.0,True,3945,3945,2,5,123,-1,,1334,1587,-253,1583,-265,15,13,,,
5031,5031,1035251754,1283420,3962,0,40,0,1.0,32000.0,True,3962,3962,0,5,1,-1,,1393,1575,-182,1571,-188,15,13,,,
5032,5032,1035340526,1283420,9870,0,41,3,1.0,64000.0,True,9870,9870,3,5,53,-1,,1481,1579,-98,1575,-109,15,14,,,
5033,5033,1035432250,1283420,5853,0,42,2,1.0,23000.0,True,5853,5853,2,5,66,-1,,1376,1584,-208,1580,-217,15,13,,,
5034,5034,1035555003,1283420,5330,0,43,1,0.0,44000.0,True,5330,5330,0,5,166,-1,,1589,1588,1,1583,-20,15,15,,,
5035,5035,1036397771,1283420,5861,0,44,2,1.0,69000.0,True,5861,5861,2,5,180,-1,,1358,1580,-222,1575,-231,15,13,,,
