,timestamp,user_id,content_id,content_type_id,task_container_id,user_answer,answered_correctly,prior_question_elapsed_time,prior_question_had_explanation,question_id,bundle_id,correct_answer,part,tags,tag,type_of,cumcount
209487,0,51015700,7217,0,0,2,1,38250.0,True,7217,7216,2,7,50 118 21,-1,,0
209488,0,51015700,7216,0,0,3,1,38250.0,True,7216,7216,3,7,97 50 21,-1,,1
209489,0,51015700,7219,0,0,2,1,38250.0,True,7219,7216,2,7,50 19 21,-1,,2
209490,0,51015700,7218,0,0,3,0,38250.0,True,7218,7216,2,7,50 18 21,-1,,3
209491,268303,51015700,6911,0,1,0,0,38250.0,True,6911,6908,3,6,27,-1,,4
209492,268303,51015700,6910,0,1,3,1,38250.0,True,6910,6908,3,6,115,-1,,5
209493,268303,51015700,6909,0,1,0,1,38250.0,True,6909,6908,0,6,91,-1,,6
209494,268303,51015700,6908,0,1,0,1,38250.0,True,6908,6908,0,6,1,-1,,7
209495,394778,51015700,6370,0,2,2,1,29500.0,True,6370,6370,2,5,79,-1,,8
209496,536291,51015700,2946,0,3,3,1,13000.0,True,2946,2946,3,4,136 67 92,-1,,9
1097418,0,243237920,7421,0,0,0,0,49000.0,True,7421,7421,2,7,76 42 46 135,-1,,0
1097419,0,243237920,7425,0,0,3,0,49000.0,True,7425,7421,0,7,118 42 46 135,-1,,1
1097420,0,243237920,7422,0,0,3,0,49000.0,True,7422,7421,1,7,97 42 46 135,-1,,2
1097421,0,243237920,7424,0,0,1,1,49000.0,True,7424,7421,1,7,145 42 46 135,-1,,3
1097422,0,243237920,7423,0,0,2,0,49000.0,True,7423,7421,3,7,39 42 46 135,-1,,4
1097423,75061,243237920,5846,0,1,0,1,49000.0,True,5846,5846,0,5,89,-1,,5
1097424,111097,243237920,6124,0,2,1,1,13000.0,True,6124,6124,1,5,64,-1,,6
1097425,126351,243237920,5953,0,3,1,1,27000.0,True,5953,5953,1,5,125,-1,,7
1097426,155697,243237920,9918,0,4,1,1,7000.0,True,9918,9918,1,5,96,-1,,8
1097427,228213,243237920,4465,0,5,2,0,19000.0,True,4465,4465,3,5,108,-1,,9
1149327,0,253400530,2065,0,0,2,1,23666.0,False,2065,2063,2,3,136 162 92 29,-1,,0
1149328,0,253400530,2063,0,0,1,0,23666.0,False,2063,2063,0,3,136 92 29,-1,,1
1149329,0,253400530,2064,0,0,1,1,23666.0,False,2064,2063,1,3,157 92 29,-1,,2
1149330,72531,253400530,3364,0,1,1,1,23666.0,False,3364,3363,1,4,136 103 29,-1,,3
1149331,72531,253400530,3363,0,1,2,0,23666.0,False,3363,3363,3,4,74 103 29,-1,,4
1149332,72531,253400530,3365,0,1,1,0,23666.0,False,3365,3363,2,4,136 103 29,-1,,5
1149333,142597,253400530,2947,0,2,3,0,21666.0,False,2947,2946,1,4,74 67 92,-1,,6
1149334,142597,253400530,2948,0,2,0,1,21666.0,False,2948,2946,0,4,136 67 92,-1,,7
1149335,142597,253400530,2946,0,2,2,0,21666.0,False,2946,2946,3,4,136 67 92,-1,,8
1149336,374577,253400530,2595,0,3,1,0,21333.0,False,2595,2593,0,4,82 103 102,-1,,9
1244979,0,273629460,6859,0,0,3,1,25500.0,True,6859,6857,3,6,27 162,-1,,0
1244980,0,273629460,6858,0,0,3,1,25500.0,True,6858,6857,3,6,64 162,-1,,1
1244981,0,273629460,6857,0,0,3,1,25500.0,True,6857,6857,3,6,96 162,-1,,2
1244982,0,273629460,6860,0,0,1,1,25500.0,True,6860,6857,1,6,65 162,-1,,3
1244983,161601,273629460,6592,0,1,2,1,25500.0,True,6592,6589,2,6,177,-1,,4
1244984,161601,273629460,6591,0,1,0,1,25500.0,True,6591,6589,0,6,55,-1,,5
1244985,161601,273629460,6590,0,1,1,0,25500.0,True,6590,6589,0,6,27,-1,,6
1244986,161601,273629460,6589,0,1,2,0,25500.0,True,6589,6589,3,6,73,-1,,7
1244987,289405,273629460,10079,0,2,1,0,34500.0,True,10079,10078,2,6,181,-1,,8
1244988,289405,273629460,10081,0,2,2,1,34500.0,True,10081,10078,2,6,27,-1,,9
1316809,0,283181200,2528,0,0,0,0,19333.0,False,2528,2527,3,3,136 81 92,-1,,0
1316810,0,283181200,2527,0,0,3,1,19333.0,False,2527,2527,3,3,106 81 92,-1,,1
1316811,0,283181200,2529,0,0,2,1,19333.0,False,2529,2527,2,3,136 162 81 92,-1,,2
1316812,103542,283181200,2540,0,1,0,1,19333.0,False,2540,2539,0,3,74 81 92,-1,,3
1316813,103542,283181200,2539,0,1,1,1,19333.0,False,2539,2539,1,3,106 81 92,-1,,4
1316814,103542,283181200,2541,0,1,0,0,19333.0,False,2541,2539,2,3,157 162 81 92,-1,,5
1316815,211973,283181200,2551,0,2,1,1,25000.0,False,2551,2551,1,3,74 38 81,-1,,6
1316816,211973,283181200,2553,0,2,2,0,25000.0,False,2553,2551,0,3,136 38 81,-1,,7
1316817,211973,283181200,2552,0,2,3,1,25000.0,False,2552,2551,3,3,82 38 81,-1,,8
1316818,296657,283181200,2487,0,3,0,1,24000.0,False,2487,2485,0,3,82 92 29,-1,,9
1403224,0,300132720,4696,0,10,0,1,,,4696,4696,0,5,133,-1,,0
1403225,101758,300132720,7900,0,0,0,1,6000.0,False,7900,7900,0,1,131 93 81,-1,,1
1403226,108513,300132720,7876,0,1,3,1,22000.0,True,7876,7876,3,1,10 94 92,-1,,2
1403227,173231,300132720,1278,0,3,3,1,25000.0,True,1278,1278,3,2,143 140 81 29,-1,,3
1403228,317703,300132720,175,0,2,2,1,20000.0,True,175,175,2,1,9 10 92,-1,,4
1403229,348676,300132720,2064,0,4,1,1,29000.0,True,2064,2063,1,3,157 92 29,-1,,5
1403230,348676,300132720,2065,0,4,2,1,29000.0,True,2065,2063,2,3,136 162 92 29,-1,,6
1403231,348676,300132720,2063,0,4,2,0,29000.0,True,2063,2063,0,3,136 92 29,-1,,7
1403232,489087,300132720,2948,0,6,0,1,26666.0,True,2948,2946,0,4,136 67 92,-1,,8
1403233,489087,300132720,2947,0,6,1,1,26666.0,True,2947,2946,1,4,74 67 92,-1,,9
1438464,0,306874800,2065,0,0,0,0,31000.0,False,2065,2063,2,3,136 162 92 29,-1,,0
1438465,0,306874800,2063,0,0,3,0,31000.0,False,2063,2063,0,3,136 92 29,-1,,1
1438466,0,306874800,2064,0,0,2,0,31000.0,False,2064,2063,1,3,157 92 29,-1,,2
1438467,93808,306874800,3364,0,1,3,0,31000.0,False,3364,3363,1,4,136 103 29,-1,,3
1438468,93808,306874800,3363,0,1,3,1,31000.0,False,3363,3363,3,4,74 103 29,-1,,4
1438469,93808,306874800,3365,0,1,2,1,31000.0,False,3365,3363,2,4,136 103 29,-1,,5
1438470,203790,306874800,2947,0,2,3,0,28666.0,False,2947,2946,1,4,74 67 92,-1,,6
1438471,203790,306874800,2948,0,2,0,1,28666.0,False,2948,2946,0,4,136 67 92,-1,,7
