timestamp,user_id,content_id,content_type_id,task_container_id,answered_correctly,prior_question_elapsed_time,prior_question_had_explanation,bundle_id,correct_answer,part,tag,target_enc_user_id,count_enc_user_id,user_count_bin,first_column_content_id,first_column_part,previous_3_ans,target_enc_content_id,content_rate_sum_user_id,content_rate_mean_user_id,content_level_user_id,diff_content_level_target_enc_user_id,diff_rate_mean_target_emc_user_id,prior_question_elapsed_time_bin,shiftdiff_timestamp_by_user_id,mean_prior_question_elapsed_time_by_user_id,diff_mean_prior_question_elapsed_time_by_user_id,user_rate_sum_content_id,user_rate_mean_content_id,user_level_content_id,diff_user_level_target_enc_content_id,diff_rate_mean_target_emc_content_id,mean_content_level_user_id_by_user_id,diff_mean_content_level_user_id_by_user_id,user_rate_sum_part_2,user_rate_mean_part_2,diff_rate_mean_target_enc_part_2,user_rate_sum_part_5,user_rate_mean_part_5,diff_rate_mean_target_enc_part_5,mean_target_enc_content_id_by_user_id,diff_mean_target_enc_content_id_by_user_id,previous_answer_index_content_id,previous_answer_content_id,question_lecture_score,mean_prior_question_elapsed_time_by_content_id,diff_mean_prior_question_elapsed_time_by_content_id,"target_enc_['user_id', 'part']","mean_target_enc_content_id_by_['user_id', 'part']","diff_mean_target_enc_content_id_by_['user_id', 'part']","target_enc_['content_id', 'prior_question_had_explanation']","mean_target_enc_user_id_by_['content_id', 'prior_question_had_explanation']","diff_mean_target_enc_user_id_by_['content_id', 'prior_question_had_explanation']",target_enc_user_count_bin,mean_target_enc_content_id_by_user_count_bin,diff_mean_target_enc_content_id_by_user_count_bin,"target_enc_['user_id', 'user_count_bin']","target_enc_['content_id', 'user_count_bin']","target_enc_['prior_question_had_explanation', 'user_count_bin']",mean_target_enc_content_id_by_first_column_content_id,diff_mean_target_enc_content_id_by_first_column_content_id,mean_target_enc_content_id_by_first_column_part,diff_mean_target_enc_content_id_by_first_column_part,"target_enc_['part', 'prior_question_elapsed_time_bin']",target_enc_previous_3_ans,te_mean,te_max,te_min,te_std,te_peak
1377689,24600,940,0,28,0.0,18000.0,1,940,0,2,-1,0.30952382,42,1,7900,1,110,,0.0,,0.30952382,0.0,,4,23712,23884.098,-5884.0977,0.0,,,,,0.3425547,-0.033030868,0.0,0.0,,0.0,0.0,,,,-99,-99,0.0,,,1.0,,,,,,0.556701,0.41806722,,0.54545456,,0.556701,0.4678112,,0.4678112,,0.6122449,0.6721311,0.6075367,1.0,0.30952382,0.20658189,0.6904762
1403698,24600,10685,0,29,1.0,16000.0,1,10685,0,2,-1,0.30232558,43,1,7900,1,011,0.6666667,-0.090079606,-0.030026535,0.59810126,0.29577568,-0.3323521,4,26009,23744.0,-7744.0,0.0,,0.6666667,0.0,,0.3417682,0.25633305,0.0,,,0.0,,,,,-99,-99,0.0,16666.666,-666.666,0.75,,,0.6666667,0.6966932,-0.3943676,0.5552699,0.41806722,0.24859947,0.5,,0.5552699,0.4678112,0.19885549,0.4678112,0.19885549,0.60913706,0.631016,0.5818169,0.75,0.30232558,0.12848656,0.44767442
1426174,24600,817,0,30,1.0,18000.0,1,817,1,2,-1,0.3181818,44,1,7900,1,101,1.0,0.28228784,0.28228784,0.51794696,0.19976515,-0.035893977,4,22476,23563.906,-5563.9062,0.3333333,0.3333333,0.8333334,-0.16666663,-0.6666667,0.34772947,0.17021748,0.3333333,0.3333333,-0.6666667,0.0,,,0.6666667,0.3333333,-99,-99,0.0,16000.0,2000.0,0.8,0.6666667,0.3333333,1.0,0.71771216,-0.39953035,0.55641025,0.4201389,0.5798611,0.53846157,,0.55641025,0.46866098,0.53133905,0.46866098,0.53133905,0.6111111,0.6666667,0.6719157,1.0,0.3181818,0.22500823,0.6818182
1453702,24600,1262,0,31,0.0,16000.0,1,1262,1,2,-1,0.33333334,45,1,7900,1,110,1.0,0.39999998,0.39999998,0.4666667,0.13333336,0.06666663,4,27528,23437.455,-7437.455,0.3333333,0.16666666,0.8888889,-0.111111104,-0.8333334,0.35159805,0.115068644,0.3333333,0.16666666,-0.8333334,0.0,,,0.8333334,0.16666663,-99,-99,0.0,17000.0,-1000.0,0.8333333,0.8333334,0.16666663,1.0,0.6,-0.26666668,0.55754477,0.42493114,0.57506883,0.5714286,1.0,0.55754477,0.470922,0.529078,0.470922,0.529078,0.6130653,0.66847825,0.71347284,1.0,0.33333334,0.23239714,0.6666666
1477283,24600,1348,0,32,1.0,19000.0,1,1348,3,2,-1,0.32608697,46,1,7900,1,011,,0.0,,0.32608697,0.0,,4,23581,23272.178,-4272.1777,-0.6666667,-0.22222222,0.8888889,,,0.35415512,-0.028068155,-0.6666667,-0.22222222,,0.0,,,0.8888889,,-99,-99,0.0,,,0.71428573,0.8888889,,,,,0.5561224,0.42964482,,0.53333336,,0.5561224,0.47316387,,0.47316387,,0.61,0.63297874,0.56127566,0.71428573,0.32608697,0.120467894,0.38819876
1502268,24600,10686,0,33,0.0,14000.0,1,10686,0,2,-1,0.34042552,47,1,7900,1,101,0.75,0.25569963,0.06392491,0.61694515,0.27651963,-0.2765006,3,24985,23179.305,-9179.305,-0.6666667,-0.22222222,0.8541667,0.10416669,-0.9722222,0.35354495,0.2634002,-0.6666667,-0.22222222,-0.9722222,0.0,,,0.8888889,-0.1388889,-99,-99,0.0,19250.0,-5250.0,0.75,0.8888889,-0.1388889,0.75,0.6860751,-0.34564957,0.55725193,0.42964482,0.32035518,0.5625,1.0,0.55725193,0.47316387,0.27683613,0.47316387,0.27683613,0.6923077,0.6686047,0.66283417,1.0,0.34042552,0.17438334,0.6595745
1526285,24600,754,0,34,0.0,19000.0,1,754,1,2,-1,0.33333334,48,1,7900,1,010,,0.0,,0.33333334,0.0,,4,24017,22984.0,-3984.0,-1.4166667,-0.3541667,0.8541667,,,0.3591492,-0.025815845,-1.4166667,-0.3541667,,0.0,,,0.8541667,,-99,-99,0.0,,,0.6666667,0.8541667,,,,,0.5558376,0.43224934,,0.5294118,,0.5558376,0.47433195,,0.47433195,,0.6119403,0.53,0.5404325,0.6666667,0.33333334,0.10379742,0.33333334
1550831,24600,801,0,35,1.0,14000.0,1,801,0,2,-1,0.3265306,49,1,7900,1,001,,0.0,,0.3265306,0.0,,3,24546,22901.0,-8901.0,-1.4166667,-0.3541667,0.8541667,,,0.35861138,-0.03208077,-1.4166667,-0.3541667,,0.0,,,0.8541667,,-99,-99,0.0,,,0.6,0.8541667,,,,,0.55443037,0.43224934,,0.5,,0.55443037,0.47433195,,0.47433195,,0.6792453,0.5,0.53066236,0.6792453,0.3265306,0.10921277,0.3527147
1168469,108310,703,0,32,1.0,20000.0,1,703,0,2,-1,0.71875,32,1,3734,5,111,,0.0,,0.71875,0.0,,4,27950,15774.193,4225.8066,0.0,0.0,1.0,,,0.58072746,0.13802254,0.0,0.0,,0.0,,,1.0,,-99,-99,0.0,,,1.0,,,,,,0.5555556,0.43224934,,1.0,,0.5555556,1.0,,0.47655106,,0.6089109,0.73522973,0.7391431,1.0,0.5555556,0.19187365,0.44444442
1280931,108310,6770,0,33,1.0,16000.0,1,6769,2,6,-1,0.72727275,33,1,3734,5,111,1.0,1.0868568,0.36228564,0.660104,-0.06716877,-0.3649871,4,112462,15906.25,93.75,0.0,0.0,1.0,0.0,-1.0,0.5850407,0.07506329,0.0,,,0.0,0.0,-1.0,1.0,0.0,-99,-99,0.0,31333.334,-15333.334,,,,1.0,0.6377144,0.08955836,0.5566751,0.43224934,0.5677507,1.0,1.0,0.5566751,1.0,0.0,0.47655106,0.52344894,0.72727275,0.73580784,0.81152266,1.0,0.5566751,0.19102299,0.44332492
