timestamp,user_id,content_id,content_type_id,task_container_id,answered_correctly,prior_question_elapsed_time,prior_question_had_explanation,bundle_id,correct_answer,part,tag,tags1,tags2,count_enc_user_id,target_enc_user_id,user_count_bin,count_enc_content_id,target_enc_content_id,content_rate_sum_user_id,content_rate_mean_user_id,content_level_user_id,diff_content_level_target_enc_user_id,diff_rate_mean_target_emc_user_id,prior_question_elapsed_time_bin,shiftdiff_timestamp_by_user_id,shiftdiff_content_id_by_user_id,mean_prior_question_elapsed_time_by_user_id,diff_mean_prior_question_elapsed_time_by_user_id,user_rate_sum_content_id,user_rate_mean_content_id,user_level_content_id,diff_user_level_target_enc_content_id,diff_rate_mean_target_emc_content_id,mean_content_level_user_id_by_user_id,diff_mean_content_level_user_id_by_user_id,user_rate_sum_part_2,user_rate_mean_part_2,diff_rate_mean_target_enc_part_2,user_rate_sum_part_5,user_rate_mean_part_5,diff_rate_mean_target_enc_part_5,previous_answer_content_id,previous_answer_index_content_id,mean_prior_question_elapsed_time_by_content_id,diff_mean_prior_question_elapsed_time_by_content_id,count_enc_part,target_enc_part,count_enc_prior_question_had_explanation,target_enc_prior_question_had_explanation,count_enc_tags1,target_enc_tags1,count_enc_tags2,target_enc_tags2,"count_enc_['user_id', 'prior_question_had_explanation']","target_enc_['user_id', 'prior_question_had_explanation']","count_enc_['user_id', 'part']","target_enc_['user_id', 'part']","count_enc_['content_id', 'prior_question_had_explanation']","target_enc_['content_id', 'prior_question_had_explanation']",count_enc_user_count_bin,target_enc_user_count_bin,user_rate_sum_user_count_bin_0,user_rate_mean_user_count_bin_0,diff_rate_mean_target_enc_user_count_bin_0,"count_enc_['user_id', 'user_count_bin']","target_enc_['user_id', 'user_count_bin']","count_enc_['content_id', 'user_count_bin']","target_enc_['content_id', 'user_count_bin']","count_enc_['prior_question_had_explanation', 'user_count_bin']","target_enc_['prior_question_had_explanation', 'user_count_bin']","count_enc_['part', 'prior_question_elapsed_time_bin']","target_enc_['part', 'prior_question_elapsed_time_bin']"
1377689,24600,940,0,28,0.0,18000.0,1,940,0,2,-1,143,20,42,0.30952382,1,0,,,,,,,4,23712,-127,23315.428,-5315.4277,,,,,,0.33439866,,0.0,,,0.0,,,-99,-99,,,362,0.6182336,2159,0.6688282,114,0.6052632,13,0.46153846,11,0.54545456,3,1.0,0,,393,0.556701,,,,11,0.54545456,0,,388,0.556701,196,0.6122449
1403698,24600,10685,0,29,1.0,16000.0,1,10685,0,2,-1,69,137,43,0.30232558,1,3,0.6666667,-0.090079606,-0.030026535,0.6966932,0.3943676,-0.3323521,4,26009,9745,23191.814,-7191.8145,,,,,,0.32662195,0.37007123,0.0,,,0.0,,,-99,-99,16666.666,-666.666,363,0.61647725,2160,0.66851854,14,0.64285713,15,0.73333335,12,0.5,4,0.75,3,0.6666667,394,0.5552699,,,,12,0.5,0,,389,0.5552699,197,0.60913706
1426174,24600,817,0,30,1.0,18000.0,1,817,1,2,-1,17,56,44,0.3181818,1,1,1.0,0.28228784,0.28228784,0.71771216,0.39953035,-0.035893977,4,22476,-9868,23028.363,-5028.3633,0.3333333,0.3333333,0.6666667,-0.3333333,-0.6666667,0.33503264,0.38267952,0.3333333,0.3333333,-0.6666667,0.0,,,-99,-99,16000.0,2000.0,364,0.6175637,2161,0.6686719,16,0.75,16,0.75,13,0.53846157,5,0.8,1,1.0,395,0.55641025,,,,13,0.53846157,0,,390,0.55641025,198,0.6111111
1453702,24600,1262,0,31,0.0,16000.0,1,1262,1,2,-1,143,71,45,0.33333334,1,1,1.0,0.39999998,0.39999998,0.6,0.26666668,0.06666663,4,27528,445,22916.623,-6916.623,0.3333333,0.16666666,0.8333334,-0.16666663,-0.8333334,0.34353665,0.25646338,0.3333333,0.16666666,-0.8333334,0.0,,,-99,-99,17000.0,-1000.0,365,0.61864406,2162,0.66882515,115,0.6,12,0.5,14,0.5714286,6,0.8333333,1,1.0,396,0.55754477,,,,14,0.5714286,1,1.0,391,0.55754477,199,0.6130653
1477283,24600,1348,0,32,1.0,19000.0,1,1348,3,2,-1,143,105,46,0.32608697,1,0,,,,,,,4,23581,86,22766.262,-3766.2617,-0.6666667,-0.22222222,0.8888889,,,0.34911194,,-0.6666667,-0.22222222,,0.0,,,-99,-99,,,366,0.6169014,2163,0.6685159,116,0.5948276,11,0.72727275,15,0.53333336,7,0.71428573,0,,397,0.5561224,,,,15,0.53333336,0,,392,0.5561224,200,0.61
1502268,24600,10686,0,33,0.0,14000.0,1,10686,0,2,-1,62,137,47,0.34042552,1,4,0.75,0.25569963,0.06392491,0.6860751,0.34564957,-0.2765006,3,24985,9338,22686.127,-8686.127,-0.6666667,-0.22222222,0.8888889,0.1388889,-0.9722222,0.341684,0.34439108,-0.6666667,-0.22222222,-0.9722222,0.0,,,-99,-99,19250.0,-5250.0,367,0.6179775,2164,0.6686691,38,0.6052632,16,0.75,16,0.5625,8,0.75,4,0.75,398,0.55725193,,,,16,0.5625,1,1.0,393,0.55725193,52,0.6923077
1526285,24600,754,0,34,0.0,19000.0,1,754,1,2,-1,137,88,48,0.33333334,1,0,,,,,,,4,24017,-9932,22505.166,-3505.166,-1.4166667,-0.3541667,0.8541667,,,0.34885883,,-1.4166667,-0.3541667,,0.0,,,-99,-99,,,368,0.6162465,2165,0.6683603,19,0.7894737,14,0.78571427,17,0.5294118,9,0.6666667,0,,399,0.5558376,,,,17,0.5294118,0,,394,0.5558376,201,0.6119403
1550831,24600,801,0,35,1.0,14000.0,1,801,0,2,-1,143,20,49,0.3265306,1,0,,,,,,,3,24546,47,22433.633,-8433.633,-1.4166667,-0.3541667,0.8541667,,,0.34173927,,-1.4166667,-0.3541667,,0.0,,,-99,-99,,,369,0.61452514,2166,0.6680517,117,0.5982906,14,0.42857143,18,0.5,10,0.6,0,,400,0.55443037,,,,18,0.5,0,,395,0.55443037,53,0.6792453
1168469,108310,703,0,32,1.0,20000.0,1,703,0,2,-1,138,41,32,0.71875,1,0,,,,,,,4,27950,-9983,15281.25,4718.75,0.0,0.0,1.0,,,0.56257975,,0.0,,,0.0,0.0,,-99,-99,,,370,0.61559886,2167,0.6682049,17,0.5294118,17,0.5294118,24,0.7916667,4,1.0,0,,401,0.5555556,,,,1,1.0,0,,396,0.5555556,202,0.6089109
1280931,108310,6770,0,33,1.0,16000.0,1,6769,2,6,-1,7,-1,33,0.72727275,1,3,1.0,1.0868568,0.36228564,0.6377144,-0.08955836,-0.3649871,4,112462,6067,15424.242,575.7578,0.0,0.0,1.0,0.0,-1.0,0.54553187,0.09218252,0.0,,,0.0,0.0,-1.0,-99,-99,31333.334,-15333.334,481,0.6787234,2168,0.6683579,22,0.8181818,1202,0.6157849,25,0.8,0,,3,1.0,402,0.5566751,,,,2,1.0,1,1.0,397,0.5566751,44,0.72727275
