timestamp,user_id,content_id,content_type_id,task_container_id,answered_correctly,prior_question_elapsed_time,prior_question_had_explanation,bundle_id,correct_answer,part,tag,tags1,tags2,count_enc_user_id,target_enc_user_id,user_count_bin,count_enc_content_id,target_enc_content_id,content_rate_sum_user_id,content_rate_mean_user_id,content_level_user_id,diff_content_level_target_enc_user_id,diff_rate_mean_target_emc_user_id,prior_question_elapsed_time_bin,shiftdiff_timestamp_by_user_id,shiftdiff_content_id_by_user_id,mean_prior_question_elapsed_time_by_user_id,diff_mean_prior_question_elapsed_time_by_user_id,user_rate_sum_content_id,user_rate_mean_content_id,user_level_content_id,diff_user_level_target_enc_content_id,diff_rate_mean_target_emc_content_id,mean_content_level_user_id_by_user_id,diff_mean_content_level_user_id_by_user_id,user_rate_sum_part_2,user_rate_mean_part_2,diff_rate_mean_target_enc_part_2,user_rate_sum_part_5,user_rate_mean_part_5,diff_rate_mean_target_enc_part_5,previous_answer_content_id,previous_answer_index_content_id,mean_prior_question_elapsed_time_by_content_id,diff_mean_prior_question_elapsed_time_by_content_id,count_enc_part,target_enc_part,count_enc_prior_question_had_explanation,target_enc_prior_question_had_explanation,count_enc_tags1,target_enc_tags1,count_enc_tags2,target_enc_tags2,"count_enc_['user_id', 'prior_question_had_explanation']","target_enc_['user_id', 'prior_question_had_explanation']","count_enc_['user_id', 'part']","target_enc_['user_id', 'part']","count_enc_['content_id', 'prior_question_had_explanation']","target_enc_['content_id', 'prior_question_had_explanation']",count_enc_user_count_bin,target_enc_user_count_bin,user_rate_sum_user_count_bin_0,user_rate_mean_user_count_bin_0,diff_rate_mean_target_enc_user_count_bin_0,"count_enc_['user_id', 'user_count_bin']","target_enc_['user_id', 'user_count_bin']","count_enc_['content_id', 'user_count_bin']","target_enc_['content_id', 'user_count_bin']","count_enc_['prior_question_had_explanation', 'user_count_bin']","target_enc_['prior_question_had_explanation', 'user_count_bin']","count_enc_['part', 'prior_question_elapsed_time_bin']","target_enc_['part', 'prior_question_elapsed_time_bin']"
0,24600,7900,0,0,1.0,,-1,7900,0,1,-1,131,93,0,,0,0,,0.0,,,,,255,0,0,,,0.0,,,,,,,,,,,,,-99,-99,,,0,,0,,0,,0,,0,,0,,0,,0,,,,,0,,0,,0,,0,
25379,24600,7876,0,1,0.0,24000.0,0,7876,3,1,-1,10,94,1,1.0,0,0,,0.0,,1.0,0.0,,5,25379,-24,,,0.0,,,,,0.5,0.5,0.0,,,0.0,,,-99,-99,,,1,1.0,0,,0,,0,,0,,1,1.0,0,,1,1.0,0.0,,,1,1.0,0,,0,,0,
50137,24600,175,0,2,1.0,23000.0,0,175,2,1,-1,9,10,2,0.5,0,0,,0.0,,0.5,0.0,,5,24758,-7701,12000.0,11000.0,0.0,,,,,0.5,0.0,0.0,,,0.0,,,-99,-99,,,2,0.5,1,0.0,0,,0,,1,0.0,2,0.5,0,,2,0.5,0.0,,,2,0.5,0,,1,0.0,1,0.0
70181,24600,1278,0,3,1.0,22000.0,0,1278,3,2,-1,143,140,3,0.6666667,0,0,,0.0,,0.6666667,0.0,,5,20044,1103,15666.667,6333.333,0.0,,,,,0.5416667,0.125,0.0,,,0.0,,,-99,-99,,,0,,2,0.5,0,,0,,2,0.5,0,,0,,3,0.6666667,0.0,,,3,0.6666667,0,,2,0.5,0,
148601,24600,2064,0,4,0.0,18000.0,0,2063,1,3,-1,157,92,4,0.75,0,0,,0.0,,0.75,0.0,,4,78420,786,17250.0,750.0,0.0,,,,,0.5833334,0.16666663,0.0,,,0.0,,,-99,-99,,,0,,3,0.6666667,0,,0,,3,0.6666667,0,,0,,4,0.75,0.0,,,4,0.75,0,,3,0.6666667,0,
148601,24600,2065,0,4,1.0,18000.0,0,2063,2,3,-1,136,162,5,0.6,0,0,,0.0,,0.6,0.0,,4,0,1,17400.0,600.0,0.0,,,,,0.5861111,0.0138888955,0.0,,,0.0,,,-99,-99,,,1,0.0,4,0.5,0,,0,,4,0.5,1,0.0,0,,5,0.6,0.0,,,5,0.6,0,,4,0.5,1,0.0
148601,24600,2063,0,4,0.0,18000.0,0,2063,0,3,-1,136,92,6,0.6666667,0,0,,0.0,,0.6666667,0.0,,4,0,-2,17500.0,500.0,0.0,,,,,0.59761906,0.06904763,0.0,,,0.0,,,-99,-99,,,2,0.5,5,0.6,1,1.0,1,0.0,5,0.6,2,0.5,0,,6,0.6666667,0.0,,,6,0.6666667,0,,5,0.6,2,0.5
219354,24600,3364,0,5,0.0,24333.0,0,3363,1,4,-1,136,103,7,0.5714286,0,0,,0.0,,0.5714286,0.0,,5,70753,1301,17571.428,6761.5723,0.0,,,,,0.5943453,-0.022916675,0.0,,,0.0,,,-99,-99,,,0,,6,0.5,2,0.5,0,,6,0.5,0,,0,,7,0.5714286,0.0,,,7,0.5714286,0,,6,0.5,0,
219354,24600,3365,0,5,0.0,24333.0,0,3363,2,4,-1,136,103,8,0.5,0,0,,0.0,,0.5,0.0,,5,0,1,18416.625,5916.375,0.0,,,,,0.5838625,-0.08386248,0.0,,,0.0,,,-99,-99,,,1,0.0,7,0.42857143,3,0.33333334,1,0.0,7,0.42857143,1,0.0,0,,8,0.5,0.0,,,8,0.5,0,,7,0.42857143,1,0.0
219354,24600,3363,0,5,0.0,24333.0,0,3363,3,4,-1,74,103,9,0.44444445,0,0,,0.0,,0.44444445,0.0,,5,0,-2,19074.0,5259.0,0.0,,,,,0.56992066,-0.12547621,0.0,,,0.0,,,-99,-99,,,2,0.0,8,0.375,0,,2,0.0,8,0.375,2,0.0,0,,9,0.44444445,0.0,,,9,0.44444445,0,,8,0.375,2,0.0
